IniId,EvtId,Fase,DataFase,Resultado,Detalhe,Favor,Contra,Abstencao
356465,13,Votação na generalidade,2026-05-22,Aprovado,"A Favor: <I>CH</I>, <I> PS</I>, <I> IL</I>, <I> L</I>, <I> JPP</I><BR>Abstenção:<I>PSD</I>, <I> PCP</I>, <I> CDS-PP</I>, <I> BE</I>, <I> PAN</I>",,,
356465,18,Votação final global,2026-06-12,Aprovado,"A Favor: <I>PS</I>, <I> IL</I>, <I> L</I>, <I> JPP</I><BR>Abstenção:<I>PSD</I>, <I> CH</I>, <I> PCP</I>, <I> CDS-PP</I>, <I> BE</I>, <I> PAN</I>",,,
356503,13,Votação na generalidade,2026-04-10,Aprovado,"A Favor: <I>CH</I>, <I> PS</I>, <I> IL</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> PCP</I>, <I> CDS-PP</I><BR>Abstenção:<I>L</I>, <I> BE</I>",,,
356503,18,Votação final global,2026-05-08,Aprovado,"A Favor: <I>CH</I>, <I> PS</I>, <I> IL</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CDS-PP</I><BR>Abstenção:<I>L</I>",,,
356549,13,Votação na generalidade,2026-05-22,Aprovado,"A Favor: <I>PS</I>, <I> L</I>, <I> BE</I>, <I> JPP</I><BR>Abstenção:<I>PSD</I>, <I> CH</I>, <I> IL</I>, <I> PCP</I>, <I> CDS-PP</I>, <I> PAN</I>",,,
356549,18,Votação final global,2026-06-03,Aprovado,"A Favor: <I>CH</I>, <I> PS</I>, <I> L</I>, <I> BE</I>, <I> JPP</I><BR>Abstenção:<I>PSD</I>, <I> IL</I>, <I> PCP</I>, <I> CDS-PP</I>, <I> PAN</I>",,,
356197,73,Votação Deliberação,2026-03-20,Rejeitado,"A Favor: <I>L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CH</I>, <I> PS</I>, <I> IL</I>, <I> CDS-PP</I>",,,
356248,13,Votação na generalidade,2026-03-06,Aprovado,"A Favor: <I>CH</I>, <I> PS</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CDS-PP</I><BR>Abstenção:<I>IL</I>",,,
356390,73,Votação Deliberação,2026-03-20,Aprovado,"A Favor: <I>PSD</I>, <I> CH</I>, <I> PS</I>, <I> IL</I>, <I> L</I>, <I> CDS-PP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Abstenção:<I>PCP</I>",,,
356507,13,Votação na generalidade,2026-04-17,Aprovado,"A Favor: <I>PSD</I>, <I> CH</I>, <I> PS</I>, <I> L</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>CDS-PP</I><BR>Abstenção:<I>IL</I>, <I> CDS-PP</I>",,,
356507,18,Votação final global,2026-04-24,Aprovado,"A Favor: <I>PSD</I>, <I> CH</I>, <I> PS</I>, <I> IL</I>, <I> L</I>, <I> CDS-PP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PCP</I>",,,
356296,13,Votação na generalidade,2026-03-20,Aprovado,"A Favor: <I>PS</I>, <I> IL</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Abstenção:<I>PSD</I>, <I> CH</I>, <I> CDS-PP</I>",,,
356432,73,Votação Deliberação,2026-06-19,Aprovado,"A Favor: <I>CH</I>, <I> PS</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Abstenção:<I>PSD</I>, <I> IL</I>, <I> L</I>, <I> PCP</I>, <I> CDS-PP</I>",,,
356196,13,Votação na generalidade,2026-02-20,Rejeitado,"A Favor: <I>L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CDS-PP</I><BR>Abstenção:<I>CH</I>, <I> PS</I>, <I> IL</I>",,,
