IniId,IniLeg,IniNr,IniTipo,IniTitulo,Autor,DataInicioLegislatura,DataFimLegislatura,UltimaFase,DataUltimaFase,NumEventos,NumAnexos
357063,XVII,1152,Projeto de Resolução,Recomenda ao Governo o reforço da segurança e proteção de mulheres e outros utilizadores vulneráveis nos transportes públicos ,Grupos Parlamentares (G); CH; Ana Martins; André Ventura; António Carneiro; Armando Grave; Bernardo Pessanha; Bruno Nunes; Carlos Barbosa; Catarina Salgueiro; Cláudia Estêvão; Cristina Rodrigues; Cristina Vieira Henriques; Daniel Teixeira; Diogo Pacheco de Amorim; Eduardo Teixeira; Eliseu Neves; Felicidade Vital; Filipe Melo; Francisco Gomes; Idalina Durães; João Lopes Aleixo; João Paulo Graça; João Ribeiro; João Tilly; Jorge Galveias; José Barreira Soares; José Carvalho; José Dias Fernandes; José Dotti; Lina Pinheiro; Luís Paulo Fernandes; Madalena Cordeiro; Manuel Magno; Manuela Tender; Marcus Santos; Maria José Aguiar; Marta Martins da Silva; Nuno Gabriel; Nuno Simões de Melo; Patrícia Almeida; Patrícia Carvalho; Patrícia Nascimento; Paulo Seco; Pedro Correia; Pedro dos Santos Frazão; Pedro Pessanha; Pedro Pinto; Pedro Tavares; Raul Melo; Ricardo Dias Pinto; Ricardo Lopes Reis; Ricardo Moreira; Rita Matias; Rodrigo Alves Taxa; Rui Afonso; Rui Cardoso; Rui Fernandes; Rui Paulo Sousa; Sandra Ribeiro; Sónia Monteiro; Vanessa Barata,2025-06-03,,Anúncio,2026-07-16,4,0
357062,XVII,1151,Projeto de Resolução,Recomenda ao Governo o reforço dos meios das forças de segurança para fiscalização da circulação de velocípedes e trotinetes com motor elétrico,Grupos Parlamentares (G); CH; Ana Martins; André Ventura; António Carneiro; Armando Grave; Bernardo Pessanha; Bruno Nunes; Carlos Barbosa; Catarina Salgueiro; Cláudia Estêvão; Cristina Rodrigues; Cristina Vieira Henriques; Daniel Teixeira; Diogo Pacheco de Amorim; Eduardo Teixeira; Eliseu Neves; Felicidade Vital; Filipe Melo; Francisco Gomes; Idalina Durães; João Lopes Aleixo; João Paulo Graça; João Ribeiro; João Tilly; Jorge Galveias; José Barreira Soares; José Carvalho; José Dias Fernandes; José Dotti; Lina Pinheiro; Luís Paulo Fernandes; Madalena Cordeiro; Manuel Magno; Manuela Tender; Marcus Santos; Maria José Aguiar; Marta Martins da Silva; Nuno Gabriel; Nuno Simões de Melo; Patrícia Almeida; Patrícia Carvalho; Patrícia Nascimento; Paulo Seco; Pedro Correia; Pedro dos Santos Frazão; Pedro Pessanha; Pedro Pinto; Pedro Tavares; Raul Melo; Ricardo Dias Pinto; Ricardo Lopes Reis; Ricardo Moreira; Rita Matias; Rodrigo Alves Taxa; Rui Afonso; Rui Cardoso; Rui Fernandes; Rui Paulo Sousa; Sandra Ribeiro; Sónia Monteiro; Vanessa Barata,2025-06-03,,Admissão,2026-07-16,4,0
357047,XVII,1142,Projeto de Resolução,Pela criação de Áreas Marinhas Protegidas em Alto Mar,Grupos Parlamentares (G); BE; Fabian Figueiredo,2025-06-03,,Anúncio,2026-07-16,4,0
357070,XVII,1156,Projeto de Resolução,Recomenda ao Governo que promova o estudo aprofundado do fenómeno da compressão salarial em Portugal e dos seus impactos económicos e sociais,Grupos Parlamentares (G); CDS-PP; Paulo Núncio; João Pinho de Almeida,2025-06-03,,Admissão,2026-07-16,4,0
357073,XVII,1159,Projeto de Resolução,Pela defesa da empresa Serviços Portugueses de Handling e dos seus trabalhadores,Grupos Parlamentares (G); PCP; Paula Santos; Paulo Raimundo; Alfredo Maia,2025-06-03,,Admissão,2026-07-17,4,0
357077,XVII,1162,Projeto de Resolução,"Recomenda ao Governo que introduza mecanismos de reforma a tempo parcial que permitam prolongar a vida ativa, continuar a trabalhar e a acumular rendimentos do trabalho e de pensões",Grupos Parlamentares (G); CDS-PP; Paulo Núncio; João Pinho de Almeida,2025-06-03,,Admissão,2026-07-17,4,0
357095,XVII,1173,Projeto de Resolução,Recomenda ao Governo o reforço da oferta de ensino de Grego e Latim no ensino secundário,Grupos Parlamentares (G); CDS-PP; Paulo Núncio; João Pinho de Almeida,2025-06-03,,Admissão,2026-08-03,4,0
315169,XVII,49,Projeto de Lei,Alteração ao Código do Direito de Autor e dos Direitos Conexos (CDADC),Grupos Parlamentares (G); IL; Carlos Guimarães Pinto; Angélique Da Teresa; Joana Cordeiro; Jorge Miguel Teixeira; Mariana Leitão; Mário Amorim Lopes; Miguel Rangel; Rodrigo Saraiva; Rui Rocha,2025-06-03,,Discussão generalidade,2025-07-11,8,1
357097,XVII,1174,Projeto de Resolução,Recomenda ao Governo o aumento do apoio financeiro concedido ao abrigo dos contratos simples e de desenvolvimento de apoio à família,Grupos Parlamentares (G); CDS-PP; Paulo Núncio; João Pinho de Almeida,2025-06-03,,Admissão,2026-08-03,4,0
357059,XVII,1148,Projeto de Resolução,Recomenda ao Governo a criação de diretrizes clínicas nacionais para a utilização das terapias CAR-T no Serviço Nacional de Saúde,Grupos Parlamentares (G); CH; Ana Martins; André Ventura; António Carneiro; Armando Grave; Bernardo Pessanha; Bruno Nunes; Carlos Barbosa; Catarina Salgueiro; Cláudia Estêvão; Cristina Rodrigues; Cristina Vieira Henriques; Daniel Teixeira; Diogo Pacheco de Amorim; Eduardo Teixeira; Eliseu Neves; Felicidade Vital; Filipe Melo; Francisco Gomes; Idalina Durães; João Lopes Aleixo; João Paulo Graça; João Ribeiro; João Tilly; Jorge Galveias; José Barreira Soares; José Carvalho; José Dias Fernandes; José Dotti; Lina Pinheiro; Luís Paulo Fernandes; Madalena Cordeiro; Manuel Magno; Manuela Tender; Marcus Santos; Maria José Aguiar; Marta Martins da Silva; Nuno Gabriel; Nuno Simões de Melo; Patrícia Almeida; Patrícia Carvalho; Patrícia Nascimento; Paulo Seco; Pedro Correia; Pedro dos Santos Frazão; Pedro Pessanha; Pedro Pinto; Pedro Tavares; Raul Melo; Ricardo Dias Pinto; Ricardo Lopes Reis; Ricardo Moreira; Rita Matias; Rodrigo Alves Taxa; Rui Afonso; Rui Cardoso; Rui Fernandes; Rui Paulo Sousa; Sandra Ribeiro; Sónia Monteiro; Vanessa Barata,2025-06-03,,Anúncio,2026-07-16,4,0
